id,question,A,B,C,D
1,下列各项中，应征收资源税的是____。,人造石油,某商贸企业零售的煤炭,开采铁矿石同时开采的锰矿,某联合企业进口的石油
2,某烟草公司2022年1月8日向烟农支付烟叶收购价款58万元，另支付了价外补贴10万元。该烟草公司1月收购烟叶应缴纳的烟叶税为____万元。,11.6,12.76,13.6,14.96
3,下列关于企业价值评估的现金流量折现模型的表述中，不正确的是____。,现金流量折现模型是企业价值评估使用最广泛、理论上最健全的模型,实体现金流量只能用企业的加权平均资本成本来折现,由于股利比较直观，因此股利现金流量模型在实务中经常被使用,企业价值等于预测期价值加上后续期价值的现值
4,根据公司法律制度的规定，公司董事的下列行为中，涉嫌违反勤勉义务的是____。,擅自披露公司商业秘密,将公司资金以个人名义开立账户存储,无正当理由长期不出席董事会会议,篡夺公司商业机会
5,信息技术对审计过程的影响不包括____。,对审计线索的影响,对审计技术手段的影响,对注册会计师的影响,对审计目标的影响
6,下列各项中，应征收资源税的是____。,人造石油,某商贸企业零售的煤炭,开采铁矿石同时开采的锰矿,某联合企业进口的石油
7,波士顿矩阵的应用战略中，以提高经营单位的相对市场占有率为目标，甚至不惜放弃短期收益的是____。,发展,保持,收割,放弃
8,纳税人因有特殊困难，不能按期缴纳税款的，经省、自治区、直辖市国家税务局、地方税务局批准，可以延期缴纳税款，但最长不得超过的期限是____。,1个月,2个月,3个月,6个月
9,近年来，房地产界一直处于高温状态，不过，随着国家有关房地产政策的出台，在一定程度上遏制了这种高温。据调查，最近二套房、三套房的成交量同期相比有所下降。这体现了政治法律环境对企业的影响因素是____。,不可测性,直接性,不可逆转性,间接性
10,在对应收账款进行函证时，注册会计师采用的以下做法不正确的是____。,对个别欠款金额较大的账户采用积极式函证,对多数金额较小的账户采用消极式函证,注册会计师以被审计单位的名义发函，并要求回函寄至会计师事务所,注册会计师将回函不符的金额汇总后要求被审计单位调整